"CO2: ppm,","TVOC: ppb,",Time
0,0,40103
400,0,40104
409,1,40110
413,1,40111
413,1,40112
409,1,40113
413,1,40114
413,1,40115
417,2,40116
433,5,40117
433,5,40118
426,3,40119
426,3,40120
423,3,40121
417,2,40122
413,1,40123
409,1,40124
405,0,40125
405,0,40126
405,0,40127
400,0,40128
405,0,40129
405,0,40130
405,0,40131
405,0,40132
409,1,40133
405,0,40134
405,0,40135
405,0,40136
400,0,40137
400,0,40138
405,0,40139
405,0,40140
405,0,40141
409,1,40142
413,1,40143
413,1,40144
413,1,40145
417,2,40146
1721,359,40147
2212,1170,40148
1302,137,40149
629,34,40150
646,37,40151
548,22,40152
524,18,40153
497,14,40154
488,13,40155
473,11,40156
465,9,40157
456,8,40158
446,7,40159
443,6,40160
443,6,40161
436,5,40162
433,5,40163
433,5,40164
433,5,40165
436,5,40166
476,11,40167
481,12,40168
476,11,40169
473,11,40170
456,8,40171
436,5,40172
443,6,40173
436,5,40174
436,5,40176
433,5,40177
426,3,40178
1195,121,40179
1567,220,40180
1207,122,40181
732,50,40182
578,27,40183
574,26,40184
515,17,40185
473,11,40186
488,13,40187
518,17,40188
497,14,40189
476,11,40190
459,8,40191
459,8,40192
456,8,40193
443,6,40194
443,6,40195
443,6,40196
451,7,40197
456,8,40198
